,commentText,commentClassification,length
692,please get it verified and update pr will merge once verified .,completeness suggestion,63
694,reformat the code .,refactoring suggestion,19
695,this is only needed for normal query only ?,questioning,43
696,can we have this instead in the main pom ?,code suggestion,42
697, ffc ed dbf da ae please make the variable name proper . check the other variable name .,spelling suggestion,88
699,forienkey is required here,buggycode suggestion,26
700, response variable not declared .,buggycode suggestion,33
701,remove log,refactoring suggestion,10
703, aaf e a d e b c d d db use available color palette in theme object .,reuse suggestion,69
705,please extract it out to variables this is unnecessarily big,code suggestion,60
706,remove collate utf mb unicode ci,code suggestion,32
707,use distributorwisefactor map instead of distributororderforppg to avoid additional lookup,buggycode suggestion,90
708,please get it verified and update pr for merge .,completeness suggestion,48
709,none of these calculations are required any more ? what changed ?,questioning,65
710, ffc ed dbf da ae please use camel casing for variable names unmappedcompanyorders ,spelling suggestion,83
711, d dbd ea c c f b does this work for you ?,buggycode suggestion,42
712,why created and modified is needed in ui display ? ? ? remove it .,refactoring suggestion,66
713,maintain the indentation throughout file .,refactoring suggestion,42
714,resolve the conflicts .,logistics suggestion,23
715,if we saving outlet id then its outlet . if its warehouse then use warehouse id in orgid .,logical suggestion,90
716,why the change from onchangejoins to setmodifiedjoins ?,questioning,55
717,please use constants,buggycode suggestion,20
719,why are we doing this ?,questioning,23
724,remove commented lines .,refactoring suggestion,24
726,is this apk tested seperatly ? ?,questioning,32
727,first letter in caps ?,spelling suggestion,22
728,this will always be true . because entitycheck is not declared at all .,buggycode suggestion,71
729,panel left will require projections otherwise we cannot have nested projections if any,buggycode suggestion,86
730,instead of discount use discountpercent,code suggestion,39
732,use stringutils .isnotempty,code suggestion,27
733,can do it in one line also camelcase,refactoring suggestion,36
734,it s named as stickyheader but the style is different . please rename appropriately .,spelling suggestion,85
735,i would suggest keeping an index on company id user id and dashboard id,logical suggestion,71
737,remove if not required,refactoring suggestion,22
738,please resolve conflicts,logistics suggestion,24
739,use constants instead of this number,buggycode suggestion,36
741,why is being handled separately ?,questioning,33
742,can we pick it from theme ?,questioning,27
743,please correct indentation .,refactoring suggestion,28
744,this is added twice .,refactoring suggestion,21
745,resolve the conflict .,logistics suggestion,22
747,correct indentation for all joins arrays .,refactoring suggestion,42
749,please get it verified and merge it .,completeness suggestion,37
750,please get it tested will merge after verification .,completeness suggestion,52
751,space after comma ,refactoring suggestion,18
754, d aae b ea c e f a please use widgetmapper for commenttype,code suggestion,59
755,remove the line .,refactoring suggestion,17
756,resolve conflict .,logistics suggestion,18
757,merging as it s simple bracket issue .,logistics suggestion,38
758,please don t hard code strings in the code . get it from strings .xml .,buggycode suggestion,71
759,please change the message . it should be like order is in progress . ,refactoring suggestion,69
760,correct indentation .,refactoring suggestion,21
761,why do we need empty query builder class ?,questioning,42
763,how user is coming in page without having a configuration ?,questioning,59
764,here u can use !empty and and based on that us can set the value .,code suggestion,66
765,advalorem is also a part of the gst component please check with the same .,code suggestion,74
766,if a person selects the cube will this show up ?,questioning,48
768,can we change the spelling of this ?,spelling suggestion,36
769,we need to clean this up after checking with other team . for now let it go as it is urgent fix .,refactoring suggestion,97
770,can we use spacing instead of extras .spacing .bystep same goes for below totalitems ,code suggestion,85
771,i think for admin it s not required .,logical suggestion,37
772,correct indentation .,refactoring suggestion,21
774,is there no label associated here ?,questioning,35
775,if we do time in date ymdhis its better na .,logical suggestion,44
776,please remove engine innodb ,refactoring suggestion,28
777,correct indentation .,refactoring suggestion,21
778,please remove join logic and fetch the data from warehouse join only .,buggycode suggestion,70
779,please get it verified and update pr for merge .,completeness suggestion,48
780,please remove this code ,refactoring suggestion,24
781,correct indentation for all if and delete sets add ,refactoring suggestion,51
782,query is wrong here pelase fix this asap,buggycode suggestion,40
783,not addressed,completeness suggestion,13
784, e a b fe a c ad c put check here like ! ! sortedcustommonths ur sorting thing ,code suggestion,79
785,from there we get only date and not time ,logical suggestion,41
786,naming convention . outletareamapping,spelling suggestion,37
